# min-availability,min-capacity,#results
0.8000,100,16
0.8000,110,16
0.8000,120,16
0.8000,130,15
0.8000,140,14
0.8000,150,13
0.8000,160,11
0.8000,170,10
0.8000,180,8
0.8000,190,6
0.8000,200,5
0.8000,210,3
0.8000,220,2
0.8000,230,1
0.8000,240,0
0.8000,250,0
0.8000,260,0
0.8100,100,15
0.8100,110,15
0.8100,120,15
0.8100,130,14
0.8100,140,13
0.8100,150,12
0.8100,160,11
0.8100,170,10
0.8100,180,8
0.8100,190,6
0.8100,200,5
0.8100,210,3
0.8100,220,2
0.8100,230,1
0.8100,240,0
0.8100,250,0
0.8100,260,0
0.8200,100,15
0.8200,110,15
0.8200,120,15
0.8200,130,14
0.8200,140,13
0.8200,150,12
0.8200,160,11
0.8200,170,10
0.8200,180,8
0.8200,190,6
0.8200,200,5
0.8200,210,3
0.8200,220,2
0.8200,230,1
0.8200,240,0
0.8200,250,0
0.8200,260,0
0.8300,100,14
0.8300,110,14
0.8300,120,14
0.8300,130,13
0.8300,140,12
0.8300,150,11
0.8300,160,10
0.8300,170,9
0.8300,180,7
0.8300,190,6
0.8300,200,5
0.8300,210,3
0.8300,220,2
0.8300,230,1
0.8300,240,0
0.8300,250,0
0.8300,260,0
0.8400,100,13
0.8400,110,13
0.8400,120,13
0.8400,130,12
0.8400,140,11
0.8400,150,10
0.8400,160,9
0.8400,170,8
0.8400,180,6
0.8400,190,5
0.8400,200,4
0.8400,210,3
0.8400,220,2
0.8400,230,1
0.8400,240,0
0.8400,250,0
0.8400,260,0
0.8500,100,13
0.8500,110,13
0.8500,120,13
0.8500,130,12
0.8500,140,11
0.8500,150,10
0.8500,160,9
0.8500,170,8
0.8500,180,6
0.8500,190,5
0.8500,200,4
0.8500,210,3
0.8500,220,2
0.8500,230,1
0.8500,240,0
0.8500,250,0
0.8500,260,0
0.8600,100,12
0.8600,110,12
0.8600,120,12
0.8600,130,11
0.8600,140,10
0.8600,150,9
0.8600,160,8
0.8600,170,7
0.8600,180,5
0.8600,190,4
0.8600,200,3
0.8600,210,2
0.8600,220,1
0.8600,230,0
0.8600,240,0
0.8600,250,0
0.8600,260,0
0.8700,100,12
0.8700,110,12
0.8700,120,12
0.8700,130,11
0.8700,140,10
0.8700,150,9
0.8700,160,8
0.8700,170,7
0.8700,180,5
0.8700,190,4
0.8700,200,3
0.8700,210,2
0.8700,220,1
0.8700,230,0
0.8700,240,0
0.8700,250,0
0.8700,260,0
0.8800,100,12
0.8800,110,12
0.8800,120,12
0.8800,130,11
0.8800,140,10
0.8800,150,9
0.8800,160,8
0.8800,170,7
0.8800,180,5
0.8800,190,4
0.8800,200,3
0.8800,210,2
0.8800,220,1
0.8800,230,0
0.8800,240,0
0.8800,250,0
0.8800,260,0
0.8900,100,12
0.8900,110,12
0.8900,120,12
0.8900,130,11
0.8900,140,10
0.8900,150,9
0.8900,160,8
0.8900,170,7
0.8900,180,5
0.8900,190,4
0.8900,200,3
0.8900,210,2
0.8900,220,1
0.8900,230,0
0.8900,240,0
0.8900,250,0
0.8900,260,0
0.9000,100,12
0.9000,110,12
0.9000,120,12
0.9000,130,11
0.9000,140,10
0.9000,150,9
0.9000,160,8
0.9000,170,7
0.9000,180,5
0.9000,190,4
0.9000,200,3
0.9000,210,2
0.9000,220,1
0.9000,230,0
0.9000,240,0
0.9000,250,0
0.9000,260,0
0.9100,100,12
0.9100,110,12
0.9100,120,12
0.9100,130,11
0.9100,140,10
0.9100,150,9
0.9100,160,8
0.9100,170,7
0.9100,180,5
0.9100,190,4
0.9100,200,3
0.9100,210,2
0.9100,220,1
0.9100,230,0
0.9100,240,0
0.9100,250,0
0.9100,260,0
0.9200,100,12
0.9200,110,12
0.9200,120,12
0.9200,130,11
0.9200,140,10
0.9200,150,9
0.9200,160,8
0.9200,170,7
0.9200,180,5
0.9200,190,4
0.9200,200,3
0.9200,210,2
0.9200,220,1
0.9200,230,0
0.9200,240,0
0.9200,250,0
0.9200,260,0
0.9300,100,12
0.9300,110,12
0.9300,120,12
0.9300,130,11
0.9300,140,10
0.9300,150,9
0.9300,160,8
0.9300,170,7
0.9300,180,5
0.9300,190,4
0.9300,200,3
0.9300,210,2
0.9300,220,1
0.9300,230,0
0.9300,240,0
0.9300,250,0
0.9300,260,0
0.9400,100,12
0.9400,110,12
0.9400,120,12
0.9400,130,11
0.9400,140,10
0.9400,150,9
0.9400,160,8
0.9400,170,7
0.9400,180,5
0.9400,190,4
0.9400,200,3
0.9400,210,2
0.9400,220,1
0.9400,230,0
0.9400,240,0
0.9400,250,0
0.9400,260,0
0.9500,100,12
0.9500,110,12
0.9500,120,12
0.9500,130,11
0.9500,140,10
0.9500,150,9
0.9500,160,8
0.9500,170,7
0.9500,180,5
0.9500,190,4
0.9500,200,3
0.9500,210,2
0.9500,220,1
0.9500,230,0
0.9500,240,0
0.9500,250,0
0.9500,260,0
0.9600,100,12
0.9600,110,12
0.9600,120,12
0.9600,130,11
0.9600,140,10
0.9600,150,9
0.9600,160,8
0.9600,170,7
0.9600,180,5
0.9600,190,4
0.9600,200,3
0.9600,210,2
0.9600,220,1
0.9600,230,0
0.9600,240,0
0.9600,250,0
0.9600,260,0
0.9700,100,12
0.9700,110,12
0.9700,120,12
0.9700,130,11
0.9700,140,10
0.9700,150,9
0.9700,160,8
0.9700,170,7
0.9700,180,5
0.9700,190,4
0.9700,200,3
0.9700,210,2
0.9700,220,1
0.9700,230,0
0.9700,240,0
0.9700,250,0
0.9700,260,0
0.9800,100,6
0.9800,110,6
0.9800,120,6
0.9800,130,5
0.9800,140,4
0.9800,150,3
0.9800,160,2
0.9800,170,1
0.9800,180,0
0.9800,190,0
0.9800,200,0
0.9800,210,0
0.9800,220,0
0.9800,230,0
0.9800,240,0
0.9800,250,0
0.9800,260,0
0.9900,100,2
0.9900,110,2
0.9900,120,2
0.9900,130,1
0.9900,140,0
0.9900,150,0
0.9900,160,0
0.9900,170,0
0.9900,180,0
0.9900,190,0
0.9900,200,0
0.9900,210,0
0.9900,220,0
0.9900,230,0
0.9900,240,0
0.9900,250,0
0.9900,260,0
1.0000,100,0
1.0000,110,0
1.0000,120,0
1.0000,130,0
1.0000,140,0
1.0000,150,0
1.0000,160,0
1.0000,170,0
1.0000,180,0
1.0000,190,0
1.0000,200,0
1.0000,210,0
1.0000,220,0
1.0000,230,0
1.0000,240,0
1.0000,250,0
1.0000,260,0
